Country,Fuel Type,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Tunisia,Diesel,1.668,1.675,1.682,1.689,1.696,1.71,1.78,2.01,2.2,2.2
Tunisia,Petrol,1.4269999999999998,1.436,1.445,1.454,1.463,1.49,1.58,1.79,1.98,1.98
Turkey,Diesel,3.77,3.79,4.69,5.72,6.36,6.01,7.39,23.23,26.73,41.97
Turkey,Petrol,4.3,4.45,5.19,6.23,6.72,6.43,7.67,20.08,27.75,42.92
Uganda,Diesel,2933.51,2640.31,3022.06,3588.41,3776.82,3472.72,3615.52,4358.46,4800.0,4700.0
Uganda,Petrol,3709.97,3365.67,3549.1,4026.23,4085.09,3851.26,4051.88,4953.46,5400.0,5800.0
Ukraine,Diesel,17.0,18.56,22.94,28.35,28.56,23.44,28.11,47.67,50.1,52.53
Ukraine,Petrol,18.66,20.82,24.62,29.25,27.93,22.98,28.33,43.66,47.89,51.82
United Arab Emirates,Petrol,1.61,1.56,1.81,2.2,1.81,1.87,2.2,3.32,2.9,2.76
United Kingdom,Diesel,114.73,110.15,119.86,129.58,131.06,117.38,133.58,177.37,160.77,151.7
United Kingdom,Petrol,110.87,108.62,117.38,124.87,124.61,113.62,129.35,164.26,145.41,142.4
United States,Diesel,0.71,0.61,0.7,0.84,0.81,0.68,0.87,1.3,1.11,1.01
United States,Petrol,2.07,2.19,2.46,2.77,2.65,2.22,3.06,4.01,3.58,3.35
Uruguay,Diesel,47.186,48.29066666666666,49.39533333333333,50.5,50.5,50.5,57.62,66.82,61.59,56.57
Uruguay,Petrol,42.58,45.83,50.64,56.12,56.11,55.12,65.35,76.54,72.48,74.12
Uzbekistan,Diesel,2097.9,2388.67,2679.44,4250.0,4832.35,6685.71,7682.08,12014.58,11812.5,11641.67
Uzbekistan,Petrol,1864.31,2418.82,2973.33,3379.31,4304.35,5267.05,6612.38,8189.93,7422.92,8672.92
Vanuatu,Diesel,106.942,112.3536,117.7652,123.1768,128.5884,134.0,135.8,211.6,191.6,178.88
Venezuela,Diesel,0.048,0.048,0.048,0.0,0.0,0.0,0.09,0.22,0.1,0.04
Venezuela,Petrol,0.06,0.005,0.005,0.0,0.0,0.04,0.3,0.06,0.03,0.03
Vietnam,Diesel,13833.83,11543.0,13511.25,16812.92,16377.92,12349.58,15750.83,23933.75,20279.17,20464.09
